餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
点都德(大中华店),粤菜,岗厦,福田街道深南大道和彩田路交汇处大中华IFC四楼,1028,￥98,五星商户
合気屋·居酒屋,日本料理,南山中心区,南山大道2009号亿利达村3栋112,501,￥129,五星商户
妞妞国际西点蛋糕培训学校(布吉总校),职业技术,布吉,布吉京南路锦龙大厦10楼1003铺,34,￥6313,五星商户
极炙·台湾精致炭火烧肉(京基100大厦店),烧烤,KKMAll 京基100大厦,红宝路蔡屋围5街48号涵舍3楼,2149,￥238,五星商户
大阪烧肉BAKA一代(国贸店),日本料理,国贸,南湖路3009号国贸商厦2A2H,3630,￥258,五星商户
炉火时代韩式炭火烤肉,烧烤,西乡,西乡大道永丰社区八区56号,159,￥79,五星商户
东记美食馆(kk mall店),粤菜,KKMAll 京基100大厦,蔡屋围五街46号,353,￥94,五星商户
神龙小龙虾(南山店),小龙虾,南山中心区,南山大道南航公司斜对面南苑宾馆往里走15米,170,￥90,准五星商户
利宝阁(嘉里店),粤菜,市中心区,中心四路嘉里建设广场三座2楼,14600,￥163,准五星商户
有间桐坑牛肉粿,粤菜,宝安南路沿线,嘉宾路蔡屋围新七坊53-1号,158,￥24,五星商户
潮香四海(正宗潮汕风味南山店),粤菜,南油,南山大道1110号南海大厦首层105、106号,343,￥84,准五星商户
江味龙虾馆(南山店),小龙虾,南头,桂庙路40号,3156,￥132,准五星商户
潜江油焖小龙虾(华南城分店),小龙虾,平湖,华南城兰桂坊酒吧美食街D1（汕头福合埕牛肉火锅隔壁）,45,￥10,三星商户
点都德(A8店),粤菜,南山区,科园路1002号A8音乐大厦4F,378,￥86,准五星商户
岚LAN·SUSHI&COCKTAIL,日本料理,石厦,石厦北二街新天世纪商务中心A座4102室,176,￥248,准五星商户
Lodestone吸铁石 日式烧肉,日本料理,蛇口,工业三路1号汇港购物广场二楼219号商铺,925,￥226,五星商户
极炙·台湾精致炭火烧肉(车公庙店),日本料理,车公庙,泰然九路21-2号,641,￥226,五星商户
龙巢盱眙龙虾(香蜜湖店),小龙虾,香蜜湖,香蜜湖美食城A10号,2909,￥147,四星商户
小草日式料理·听说很好吃日料,日本料理,宝安南路沿线,红宝路57-1号,601,￥105,五星商户
潮香四海(正宗潮汕风味下沙总店),粤菜,上沙/下沙,下沙三坊49号,1764,￥77,准五星商户
渡来割烹,日本料理,南山中心区,文心六路33号保利文化广场A区4楼,153,￥621,五星商户
蘩楼(宝安南路店),粤菜,宝安南路沿线,宝安南路2078号深港豪苑名商阁2樓,4543,￥79,准五星商户
台湾茶餐厅,台湾菜,新安,甲岸村15栋,348,￥39,五星商户
San Marco圣马可意大利西餐厅(中洲店),西餐,海岸城,海德二道98-100号中洲国际B座2A,541,￥147,五星商户
旬野菜新派日式火锅(卓悦intown店),日本料理,市中心区,福华三路卓悦intown商场3楼L328,780,￥165,准五星商户
植藤·匠日本料理,日本料理,南山中心区,海德一道88号中洲控股中心A座44F,717,￥1113,五星商户
妞妞国际西点蛋糕培训学校(龙华分校),职业技术,清湖地铁站,圣博雅商务中心2楼,30,￥8694,五星商户
蒸的好海鲜馆,海鲜,蛇口,南海大道蛇口网谷万融大厦C座G层101,982,￥193,准五星商户
青筠焱烧肉·酒巷(福田店),日本料理,上沙/下沙,福荣路万科金域蓝湾114-115铺,603,￥266,五星商户
顶真牛肉潮式火锅(湾厦店),火锅,蛇口,蛇口街道后海大道1027号东南工贸大厦一楼,1354,￥99,五星商户
虾胡闹,小龙虾,蛇口,蛇口街道中心路卓越维港北区4-7-102商铺,294,￥150,五星商户
食冶日本料理铁板烧(南山海岸城店),自助餐,海岸城,海德二道海岸大廈西座3楼,1189,￥337,四星商户
2046湘味厨房(蛇口1店),湘菜,蛇口,工业三路百盈医疗器械园B109号铺,1256,￥161,准五星商户
汕头八合里海记牛肉店(海岸城店),火锅,海岸城,粤海街道海德三道19号海岸大厦西座301A-302A,2213,￥92,准五星商户
KiMi轻米创意菜•音乐吧,创意菜,华强北,燕南路8号2楼,263,￥92,五星商户
麻小丨麻辣诱惑(KKMALL店),小龙虾,KKMAll 京基100大厦,深南东路京基百纳空间KKMALL4层,184,￥145,五星商户
粤A精酿啤酒,酒吧,南油,四海路紫竹园东门底商2层217-218号,24,￥41,五星商户
饭聚(水围店),粤菜,皇岗,福田街道水围村39号,588,￥96,准五星商户
点都德(龙华店),粤菜,民治,/宝安区/民治大道567号UONE优城北区二层,670,￥89,准五星商户
四叶寿司(华侨城店),日本料理,华侨城,深南大道9001号锦绣中华大门东侧50米,954,￥1335,五星商户
点都德(kk one店),粤菜,上沙/下沙,滨河大道滨河时代KKONE购物中心负一楼,756,￥88,准五星商户
幸福西饼蛋糕(科苑店),面包甜点,科技园,粤海街道科苑路园西工业区25栋三段405,38,￥112,四星商户
火桶1971,韩国料理,香蜜湖,农林路5号鑫竹苑B栋生活广场二楼,1141,￥94,准五星商户
九格子重庆火锅店,火锅,国贸,东门南路1019号向西文锦渡商业大厦1层,187,￥106,五星商户
点都德(皇岗村店),粤菜,皇岗,/福田区/皇岗村下围二村66号2-3楼,895,￥87,准五星商户
我爱寿司·有炙气(壹店),日本料理,新安,甲岸村16栋,921,￥81,准五星商户
彩虹湾海鲜餐吧,海鲜,南澳,较场尾海滨路10-1号,75,￥247,三星商户
清水煮一切(海岸城店),火锅,南山中心区,海德一道观海台底商B-03,107,￥30,准五星商户
汕头八合里海记牛肉店(南园路店),火锅,华强南,南园街道爱华路南沙浦头大厦首层48号,4401,￥89,准五星商户
点都德(华强南店),粤菜,华强南,华强南路2002号南华花园2F,3520,￥91,准五星商户
虎喰烧肉.酒场(购物公园店),日本料理,市中心区,购物公园北园B区一区,901,￥335,准五星商户
潮汕大目牛肉火锅(海岸城店),火锅,海岸城,文心五路33号海岸城东座2楼245号,359,￥87,四星商户
民笑韩国料理,韩国料理,香蜜湖,侨香东路1011号1979文化新天地B区3层307A,2479,￥143,准五星商户
日和の日式料理•居酒屋,日本料理,白石洲,沙河街55-14号白石洲地铁站A出口,142,￥105,准五星商户
四叶寿司(香蜜湖店),日本料理,香蜜湖,侨香路1011号1979文化新天地301号4叶天香3楼,334,￥1231,五星商户
满粉厨房,西北菜,福田区,下沙一坊37号103满粉,53,￥24,五星商户
一芳台湾水果茶(横岗志健广场店),面包甜点,横岗,志健时代广场外铺1A-33铺,27,￥22,准四星商户
汕头八合里海记牛肉店(南头店),火锅,南头,南头街279号,6196,￥90,准五星商户
海月百味馆(后海店),粤菜,蛇口,后海大道招商地产海月花园会所1楼,849,￥131,准五星商户
鱼禾岸日式料理,日本料理,八卦岭/园岭,八卦一路城市主场小区二楼店铺231号,175,￥80,五星商户
阳少爷成都串串香,火锅,东门商业圈,南湖街道向西路92号,438,￥78,五星商户
小龙坎老火锅(缤纷店),火锅,新安,新安街道宝民一路麗枫酒店B座二楼（海雅缤纷城广场喷泉左侧）近五区市场公交站,282,￥128,准四星商户
鸟剑居酒屋(国贸店),日本料理,国贸,南湖街道人民南路天安国际大厦B座1楼1号02铺,175,￥185,准五星商户
万宗源石斛养生汤馆,粤菜,布吉,政清路大世纪花园9栋雅园酒店后50米,562,￥66,五星商户
禾膳屋日本料理,日本料理,宝安中心区,天健时尚空间2栋1235,139,￥83,五星商户
1001餐厅(海岸城店),新疆菜,海岸城,文心五路33号海岸城购物中心5楼501-8,64,￥102,准五星商户
幸福西饼蛋糕(翻身店),面包甜点,上川自由路,新安镇翻身路开屏花园B栋1楼54号商铺,412,￥84,四星商户
干将路左拐(南山店),小龙虾,南油,粤海街道南油B区71-73栋南商路70-23号,233,￥118,五星商户
汕头八合里海记牛肉店(购物公园店),火锅,市中心区,福田街道民田路购物公园北园A区220,2476,￥92,准五星商户
MR·ROCKY洛奇先生餐吧(宝安壹方城店),西餐,宝安中心区,新湖路99号壹方城购物中心L1楼,864,￥151,准五星商户
王品牛排(海岸城店),西餐,海岸城,文心五路33号海岸城购物中心3层,901,￥401,五星商户
大龙燚火锅(南山创业店),火锅,南油,创业路3069号东方海雅居一楼,476,￥126,四星商户
湊湊火锅·茶憩(来福士广场店),火锅,南油,南海大道2163号来福士广场1期4层415,1717,￥125,准五星商户
微肉MicroMeat,西餐,华侨城,侨城东路99号,371,￥109,五星商户
汕头八合里海记牛肉店(南湖店),火锅,国贸,南湖路国贸商住大厦首层南侧,2285,￥90,准五星商户
泰炙泰式火锅THAI LIGHT,东南亚菜,市中心区,福华三路皇庭广场西广场G层01号,324,￥137,四星商户
幸福西饼生日蛋糕(华发店),面包甜点,华强北,华发北路107栋A01号商铺,616,￥35,准四星商户
匠传点心,茶餐厅,上沙/下沙,福荣路26号绿景蓝湾半岛A栋1层,2166,￥72,准五星商户
自然煮義Homiez,西餐,市中心区,福华三路卓越intown购物中心三楼,438,￥84,准五星商户
点都德(海岸城店),粤菜,南山中心区,粤海街道后海大道以东天利中央商务广场1期A座三层,1657,￥90,四星商户
喜粤8号,粤菜,市中心区,金田路卓越intown商场2楼L203-L206室,490,￥182,准五星商户
云海肴云南菜(海岸城店),其他美食,海岸城,文心五路33号海岸城购物中心5层535号商铺,5312,￥91,准五星商户
金皇廷,粤菜,市中心区,金田路3037号金中环商务大厦裙楼5楼,2931,￥114,准五星商户
竹屿居酒屋(下沙店),日本料理,上沙/下沙,下沙一坊69-102,427,￥105,准五星商户
拾下卜卜贝,火锅,龙华,中环路大信花园8栋,63,￥61,准五星商户
王品牛排(益田假日广场店),西餐,益田假日,深南大道9028号益田假日广场3F,2725,￥381,五星商户
渔技碳烤活鱼(南山宝能太古城店),川菜,蛇口,中心路2233号宝能•allcity购物中心南区B1层SB116商铺,2091,￥85,准四星商户
竹屿居酒屋(学府路店),日本料理,南头,常兴路与学府路交叉口,648,￥97,准五星商户
Bingshiburger宾仕迪故事汉堡(壹方城店),西餐,宝安中心区,新湖路壹方城B2层032A号铺,180,￥60,准五星商户
冰村大叔•煲仔粥糖水店,小吃快餐,梅林,梅林街道中康路天源梅林居黄祠巷22号,725,￥33,四星商户
松哥油焖大虾(香蜜湖店),小龙虾,香蜜湖,深南大道香蜜湖度假村西贝前行18米,3465,￥166,准五星商户
冉冉垄居酒屋,日本料理,车公庙,泰然二路泰然工业园107栋1楼,497,￥125,准五星商户
唐宫海鲜舫(东门店),粤菜,东门商业圈,新园路1号中海商城6楼,5257,￥101,准五星商户
食冶日本料理铁板烧(福田石厦店),日本料理,石厦,石厦北二街89号马成时代广场四楼406,2791,￥327,准五星商户
江味龙虾馆·烧烤(罗湖店),小龙虾,宝安南路沿线,桂园街道红宝路39号安华宾馆一楼西侧,995,￥132,准五星商户
2046湘味厨房(科技园海王2店),湘菜,科技园,科技园海王银河科技大厦一层北向108铺港安驾校对面,1147,￥140,准五星商户
老成都钢五区小郡肝串串香火锅,火锅,国贸,向西村嘉宾路1015号粤鹏大厦一楼,327,￥98,四星商户
文和友老长沙龙虾馆(梅林店),小龙虾,梅林,梅林路46号天欣汽车生活馆1楼,535,￥139,四星商户
叫嚎oyoyster·仅配送,海鲜,市中心区,福华一路3号怡景中心城广场L层FL1023,202,￥211,五星商户
牛匠屋日式炭火烧肉(南山店),烧烤,南山中心区,i南山大道1110-19号,188,￥213,准五星商户
松哥油焖大虾(西乡店),小龙虾,西乡,金海路15号,49,￥146,五星商户
大龙燚火锅(南山大道店),火锅,南头,南山大道2009号一楼D区,1703,￥128,四星商户
潮汕喜鹅饭店(金丰城店),粤菜,宝安南路沿线,深南东路金丰城负一楼,301,￥85,五星商户
君悦酒店-悦景扒房,西餐,宝安南路沿线,宝安南路1881号君悦酒店37楼,283,￥749,五星商户
水佬记 秘制辣汁花甲蟹锅(水佬荣),火锅,皇岗,水围七街水围1368国际街区170栋3楼,87,￥175,准五星商户
海仙会SEA FRESH海鲜姿造(海岸城店),海鲜,南山中心区,文心三路9号中洲控股大厦B座裙楼二楼,2162,￥412,准五星商户
贵州铜锅牛肉,火锅,蛇口,海上世界A区海滨商业中心一栋2号铺,728,￥114,四星商户
佐渡蔵 どうぞ 居酒屋(东园店),日本料理,荔枝公园片区,东园路65号,50,￥147,五星商户
红厨,西餐,市中心区,民田路购物公园地铁B出口扶手电梯二楼,270,￥352,准五星商户
火木堂烧肉の門,日本料理,梅林,梅林路46号,210,￥203,准五星商户
额尔敦传统涮,火锅,草埔,清水河一路博兴大厦5楼,878,￥129,准五星商户
一鱼居酒屋(海岸城店),日本料理,海岸城,粤海街道文心六路与海德二道交界海岸大厦东座一楼120商铺,438,￥90,准五星商户
voisin organique邻舍有机餐厅,创意菜,华侨城,侨北一街富田创意文化园117号,139,￥561,准五星商户
堂本家洋食别馆(中心城店),日本料理,市中心区,福华一路3号怡景中心城广场L楼FL1011号,7710,￥89,准五星商户
Bollywood宝莱坞印度餐厅(国贸店),东南亚菜,国贸,人民南路（金光华广场对面）熙龙大厦3楼2055-3号,1329,￥100,准五星商户
麻辣藝号-老重庆火锅(罗湖店),火锅,国贸,春风路3002号金碧酒店首层,1016,￥172,准五星商户
龙巢盱眙龙虾(宝安店),小龙虾,新安,创业二路北一巷华丰时代广场1楼美食街,849,￥120,准四星商户
空Kong,咖啡厅,石厦,石厦北二街新天世纪商务中心A座3801室,1180,￥59,准五星商户
汕头八合里海记牛肉店(海德店),火锅,南油,南山大道与海德二道交界处（南山站D出口）,4295,￥94,准五星商户
詠藜園(世纪汇店),粤菜,华强北,中航路世纪汇4楼408A,1701,￥94,四星商户
兰亭京都料理,日本料理,香蜜湖,香蜜湖1979创意文化园A区1栋6楼,281,￥1184,五星商户
魔法师音乐烤吧,烧烤,深圳火车北站,民塘路深圳北站东广场缤果空间F2,579,￥80,三星商户
寿司大(福田店),日本料理,市中心区,福田中心区海田路辛诚花园街铺,424,￥450,准五星商户
南京大牌档(kk mall店),江浙菜,KKMAll 京基100大厦,深南东路5016号KKMALL京基百纳空间3层L325a,4707,￥66,准五星商户
幺鸡火锅串串(福田石厦店),火锅,石厦,石厦新村11栋104号,245,￥98,准五星商户
一鱼居酒屋(南航店),日本料理,南山中心区,南山大道荔芳一街6-5,972,￥100,准五星商户
江汉龙虾馆(南头店),小龙虾,南头,玉泉路1号,73,￥105,四星商户
爆爆田螺煲,烧烤,梅林,梅林路133号上梅林文体公园,585,￥86,准五星商户
汕头八合里海记牛肉店(卓悦INTOWN店),火锅,市中心区,福华三路卓悦INTOWN商场B1楼B110号商铺,761,￥91,准五星商户
呐咪傣园,其他美食,福田区,石厦西村113-1号,289,￥80,准五星商户
瑞吉酒店-秀餐厅,自助餐,KKMAll 京基100大厦,深南东路5016号京基100大厦A座瑞吉酒店95楼,1841,￥558,四星商户
鑫泰泰国料理(华强北九方店),东南亚菜,华强北,华富街道华富路1018号中航华强北九方购物中心北区5层L505号铺,1680,￥125,四星商户
丹东特色烤肉(学府路一部店),烧烤,南头,学府路荔馨村综合楼南面7号铺,1540,￥102,准五星商户
丼家日式料理(保利店),日本料理,南山中心区,深圳粤海街道保利文化广场A1区35-36号,81,￥148,五星商户
禾禾睦石板烤肉,烧烤,皇岗,皇岗公园一街水围村165栋二楼,85,￥113,准五星商户
大和樱花烂漫豚骨拉麺(华强北店),日本料理,华强北,华强北路2009号茂业百货B1-41铺,195,￥52,准五星商户
美艺甜(宝安壹方城店),面包甜点,宝安中心区,新湖路与创业一路交汇处壹方城购物中心B1层020号,197,￥66,准四星商户
小运河东岸(南山海雅店),粤菜,海岸城,南海大道2746号海雅百货8层,111,￥66,准五星商户
酔日式餐吧,日本料理,香蜜湖,侨香路特发小区综合楼一层L113号铺特发文创广场一楼外围,115,￥165,五星商户
登喜路国际大酒店,自助餐,西乡,宝田一路12号登喜路国际大酒店（宝田一路与前进二路交汇处）,1279,￥208,准五星商户
点都德(卓悦汇店),粤菜,梅林,中康路126号卓悦汇购物中心一、二楼点都德,1586,￥90,四星商户
南国菜根香,川菜,华强北,深南中路2010号东风大厦三楼,580,￥65,准四星商户
印象毡房(京基kkone店),西北菜,上沙/下沙,沙头街道下沙社区滨河大道9289号下沙村京基滨河时代广场L203,87,￥82,准五星商户
Bon Vivant.花艺烘焙下午茶,面包甜点,市中心区,福华三路皇庭广场L2-06号商铺,212,￥56,准五星商户
白玉串城(南山店),烧烤,南油,南山大道易四方美食城104A商铺,291,￥95,准五星商户
7比3 Burger(福田店),西餐,市中心区,福田街道深南大道福田地铁站负一层时尚美食广场A区13号,307,￥45,准五星商户
龙酒场日本料理,日本料理,蛇口,蛇口海上世界A区必胜客斜对面前10米,587,￥209,准五星商户
湊湊火锅·茶憩(卓越世纪店),火锅,皇岗,福田街道福华三路卓越INTOWN商场1层-2层L117/L211,1007,￥129,四星商户
邂逅椰子鸡(南山店),火锅,前海,前海路大新前海商业中心208,1561,￥107,准五星商户
糕匠(西丽店),面包甜点,西丽,西丽官龙路官龙综合楼C栋,307,￥157,准五星商户
伊芙蕾烘焙馆,面包甜点,梅林,中康南路8号雕塑家园322,64,￥86,五星商户
2046湘味厨房(科技园南区三店),湘菜,科技园,南海街道海天二路软件产业基地6栋01层01号,368,￥148,准五星商户
一鱼居酒屋(深大桂庙店),日本料理,南山中心区,学府路桂庙新村31栋8号,196,￥73,准五星商户
汕头八合里海记牛肉店(东园店),火锅,荔枝公园片区,东园路44号,6215,￥87,准五星商户
堂本家猪排·料理专门店(海岸城店),日本料理,海岸城,文心五路33号海岸城购物中心5层,1172,￥90,准五星商户
卅卅SASA(欢乐海岸店),火锅,欢乐海岸,南山区白石路欢乐海岸购物中心G层026号,226,￥79,四星商户
大龙燚火锅(福田东园店),火锅,荔枝公园片区,东园路51号,2315,￥120,四星商户
烧肉万福(罗湖店),日本料理,东门商业圈,深南东路3007号金城大厦32-34号,1470,￥188,准五星商户
唐宫小聚(海岸城店),粤菜,海岸城,文心四路33号海岸城购物中心东区1层128号铺,4817,￥92,四星商户
掂,日本料理,车公庙,深南大道6103号车公庙丰盛町地下二层A2-079号地铁b口,236,￥87,准五星商户
吴莊(皇庭广场店),江浙菜,市中心区,福田街道福华三路皇庭广场B1层26-3号,2975,￥66,四星商户
幸福西饼生日蛋糕(大芬店),面包甜点,布吉,深惠路布吉大芬油画村60号商铺,362,￥110,四星商户
新疆红柳花餐厅,新疆菜,新洲,新州北村55-1号,323,￥102,准五星商户
白玉串城(车公庙店),烧烤,车公庙,泰然二路泰然工贸园201栋首层2号车公庙地铁站D2出口步行150米,1308,￥102,准五星商户
猫小主猫咖啡＆cat cafe(欢乐谷店),咖啡厅,华侨城,美加广场E座14楼1403号,292,￥60,五星商户
君悦酒店·乐厨,自助餐,宝安南路沿线,宝安南路1881号君悦酒店32楼,3079,￥438,四星商户
俏81音乐主题椰子鸡,火锅,荔枝公园片区,东园路台湾花园1-4A号,305,￥130,准四星商户
PAULANER BRAUHAUS 德国帕拉娜自酿啤酒餐厅(海上世界店),西餐,蛇口,海上世界C区005,1640,￥205,准五星商户
花塘(皇庭广场店),江浙菜,市中心区,福华三路118号皇庭广场B1层,5714,￥103,四星商户
南京大牌档(华强北九方店),江浙菜,华强北,华强北振中路九方购物中心5楼L506铺,1743,￥67,四星商户
利宝阁(宝安壹方城店),粤菜,宝安中心区,新湖路99号壹方城L4-003铺,1314,￥166,四星商户
幸福西饼生日蛋糕(田面店),面包甜点,华强北,田面二街田面新村31栋101号,293,￥25,准四星商户
大阪烧肉BAKA一代(人民南路店),日本料理,国贸,南湖街道人民南路2077号国际大廈1楼,935,￥241,五星商户
彩云宴·云南菜(凯德公园一号店),其他美食,南油,创业路凯德公园一号1层32号铺,219,￥76,准五星商户
阿飛冰室(下沙店),茶餐厅,上沙/下沙,下沙村花好园裙楼一楼105室,987,￥62,准五星商户
汕头八合里海记牛肉店(车公庙店),火锅,车公庙,泰然六路泰然工贸园213栋,2127,￥90,准五星商户
江城印象小龙虾·烧烤,小龙虾,翠竹路沿线,翠竹街道太宁路五方家居广场出口旁,403,￥127,准四星商户
福泽屋,日本料理,南山中心区,粤海街道文心六路南山商业文化中心区保利文化广场A1-49-03/01号铺位,159,￥93,准五星商户
最咖泰餐音乐吧,东南亚菜,国贸,春风路3068号置地轩1楼,518,￥108,准五星商户
巴马小屋,粤菜,坂田,坂田街道伯公坳路1号华昱机构大院一楼,560,￥108,准五星商户
壹間茶餐厅(海岸城店),茶餐厅,海岸城,文心五路海德三道19号海岸城西座3层,4363,￥67,四星商户
OaK欧克咖啡(华强北九方店),咖啡厅,华强北,华富路1018号华强北九方购物中心L116铺,399,￥46,四星商户
泰炯音乐酒馆,东南亚菜,市中心区,福华一路怡景中心城北门，胡桃里东侧 地铁B口向北直行80米路口左转,1869,￥136,四星商户
KYOKU日本料理(嘉里建设广场店),日本料理,市中心区,中心四路1号嘉里建设广场第1座1楼,1389,￥415,准五星商户
