餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
六本堂の昭和六十(阿里云大厦店),日本料理,海岸城,粤海街道科苑南路3239号阿里云大厦T4栋1F29—30号铺,237,￥258,准五星商户
牛B仔清汤腩餐厅,茶餐厅,海岸城,文心五路34号,374,￥45,准五星商户
荷官·虾一斤,小龙虾,新安,新安街道海富社区45区自由路11号泰华俊庭112号,62,￥98,准五星商户
李师傅脆肚(红荔路店),湘菜,华强北,红荔路与工发路交汇处,1548,￥82,准五星商户
大牛火锅(南山卓越维港店),火锅,蛇口,中心路卓越维港名苑北区4-7栋14G之二号商铺,264,￥111,五星商户
阿飛冰室(南山店),茶餐厅,海岸城,海德三道海岸城东座2楼246号,648,￥61,准五星商户
胡须佬鸡煲四季火锅店(皇岗总店),家常菜,皇岗,福民路87号,1271,￥95,四星商户
神龙小龙虾(坪洲店),小龙虾,西乡,西乡街道新湖路80号二楼,166,￥100,准五星商户
渡来料亭,日本料理,市中心区,金田路现代国际大厦4楼,555,￥574,准五星商户
唐宫小聚(东海缤纷天地店),粤菜,车公庙,香林路东海缤纷天地2楼2010-2012室,3298,￥94,准五星商户
大熊烧肉(南山枫叶店),烧烤,南油,南山区南山大道1039号,83,￥94,准五星商户
小町号料理.酒场,日本料理,市中心区,购物公园北区一楼,1297,￥312,准五星商户
深圳机场凯悦酒店自助餐厅咖啡厅,自助餐,宝安国际机场,空港八道宝安国际机场T3航站楼内,56,￥233,五星商户
小草日式料理(万象店),日本料理,宝安南路沿线,蔡屋围新七坊53号103,277,￥114,准五星商户
橘藤日本料理火炙寿司店,日本料理,新洲,新洲二街南溪新苑A栋B1号商铺,152,￥105,准五星商户
麻辣尚席-火锅(华侨城创意园明星店),火锅,华侨城,创意文化园北区C3栋101号,1274,￥146,准五星商户
外婆家(宝安壹方城店),江浙菜,宝安中心区,新湖路102-75号壹方城负一楼,639,￥71,四星商户
安东鸡(海岸城店),韩国料理,海岸城,文心六路潮流广场OKmall二楼016-018铺,2226,￥90,四星商户
BUILDSTONE築石日本料理,日本料理,宝安南路沿线,桂园街道红宝路151号,326,￥586,准五星商户
GE BAKE,面包甜点,龙岗区,怡苑路33号,152,￥113,准五星商户
白夜有米,日本料理,梅林,卓越城1期2号写字楼9号铺,928,￥46,四星商户
李记湛光蚝莊(二分店),烧烤,白石洲,白石洲一街东一坊101号,346,￥103,准五星商户
半吨精酿啤酒厂Half Ton Brewery(蛇口店),西餐,蛇口,工业六路9号,190,￥100,准五星商户
膳心记-煲仔饭专门店(水围店),粤菜,皇岗,水围七街龙轩豪庭5号商铺,184,￥37,四星商户
黑池口感烘焙,面包甜点,布吉,布吉街莲花路百花二街老墟村太子工业大厦5楼,3783,￥203,准五星商户
泰炙美见 · 新加坡料理｜long time and see(kk one店),东南亚菜,上沙/下沙,滨河大道9289号京基滨河时代北区2层248,1714,￥107,四星商户
文和友老长沙龙虾馆(罗湖店),小龙虾,文锦渡,春风路云景豪园首层,2670,￥137,四星商户
食冶日本料理铁板烧(宝安壹方城店),日本料理,宝安中心区,新湖路99号壹方城L5层003A,391,￥344,四星商户
暹罗泰(侨城店),东南亚菜,华侨城,香山东街OCT创意园A3栋1层,2157,￥198,准五星商户
大中华希尔顿酒店兰亭,川菜,市中心区,深南大道1003号大中华国际金融中心希尔顿酒店23层,181,￥253,准五星商户
潮汕喜鹅饭店(万象汇店),粤菜,布吉,翔鸽路布吉华润万象汇二楼奈雪旁,192,￥81,准五星商户
桂小厨广西菜(欢乐海岸购物中心店),其他美食,欢乐海岸,白石路东8号欢乐海岸购物中心2层,5494,￥96,准五星商户
唐宫海鲜舫(万德店),粤菜,荔枝公园片区,深南中路1019号万德大厦3楼,330,￥119,准五星商户
LazyPlanet懒人星球,咖啡厅,皇岗,海田路卓越世纪中心3号楼B座33楼3317室,295,￥64,四星商户
汕头八合里海记牛肉店(沙河街店),火锅,白石洲,沙河街108号白石洲将军美食城,981,￥85,准五星商户
东宝制造·海鲜火锅(香蜜湖1979店),火锅,香蜜湖,侨香东路1011号1979文化新天地B区3层,385,￥646,准五星商户
宏楼梦串串香火锅(沙嘴总店),火锅,沙头,沙嘴二坊91-3沙嘴中心街,103,￥82,五星商户
海银海记潮汕牛肉火锅店(国贸店),火锅,国贸,南湖街道南湖路3005-5号/南湖时代广场5号,340,￥108,准五星商户
先记烧鹅王,粤菜,福永,白石厦大道龙翔路42号,286,￥78,四星商户
龙界炉端烧活海鲜酒场,日本料理,市中心区,海田路30号,853,￥372,四星商户
嘻螺海鲜(购物公园店),海鲜,市中心区,购物公园北区二楼247号（购物公园地铁B出口埃克斯咖啡上2楼或停车场D区5号电梯上2楼右边）,159,￥114,四星商户
黑旨烧肉(万象天地店),日本料理,科技园,深南大道9668号华润万象天地6楼SL612,470,￥211,四星商户
堂本家洋食别馆(万象天地店),日本料理,科技园,深南大道9688号华润万象天地负一楼B152,578,￥100,四星商户
HONOKA·田社家(欢乐海岸购物中心店),日本料理,欢乐海岸,白石路东8号欢乐海岸购物中心3层1号,250,￥750,准五星商户
PAULANER保拉纳啤酒餐厅(平安金融中心店),西餐,市中心区,益田路5033号平安金融中心商场8楼,75,￥207,准五星商户
堂本家洋食别馆(kk mall店),日本料理,KKMAll 京基100大厦,深南东路5016号KKMALL购物中心123C铺,4641,￥90,四星商户
枫庭日式料理(海岸城店),日本料理,海岸城,海德二道潮流广场一楼21号铺,755,￥152,准五星商户
若蘭慈素食馆,素菜,欢乐海岸,白石路东25号欢乐海岸曲水湾A-2J,1843,￥193,四星商户
无虾不欢(南山店),小龙虾,南山中心区,保利文化广场A区3层A3-03-02,505,￥123,准五星商户
燚青春东北泥炉烤肉(民治店),烧烤,龙华,龙华区民治大道903号,81,￥73,准五星商户
全垒打(KKONE店),日本料理,上沙/下沙,KKONE南区一楼124号商铺,351,￥87,四星商户
鹏城饭馆(大鹏所城东门店),粤菜,大鹏,大鹏所城东城巷21号,1513,￥73,四星商户
全聚福广西米粉店(海润店),粥粉面,南头,南海大道中油大厦对面,127,￥21,准五星商户
溢琚閣精品客家菜,粤菜,科技园,科技中三路海王银河科技大厦一楼,326,￥78,四星商户
繁·醉花亭小酒馆(新洲店),川菜,新洲,新洲村牌坊街与新洲九街交叉口兴万和教育广场一层,92,￥91,准五星商户
蜀大侠火锅(福华路店),火锅,华强北,福华路60号农贸大厦一层,1328,￥121,准五星商户
渔语鱼·酸菜鱼专门店(来福士店),川菜,南油,南海大道2163来福士广场B1层78号,65,￥82,准五星商户
农耕记·湖南山里菜(南山欢乐海岸店),湘菜,欢乐海岸,滨海大道2008号,46,￥72,该商户暂无星级
蒸鲜原味蒸汽海鲜(福田店),海鲜,香蜜湖,深南大道6038号香蜜湖度假村美食城内,1442,￥190,准五星商户
Bay house艺术甜品餐厅,面包甜点,宝安南路沿线,宝安南路1036号万象城喜茶对面鼎丰大厦6层602,289,￥150,准五星商户
袁老四老火锅(南山总店),火锅,蛇口,后海大道1010-2号,63,￥102,准五星商户
农畉LonFood,西餐,市中心区,民田路COCOPark外场酒吧街一楼L1C-079a铺,1188,￥102,四星商户
汉虾王·油焖大虾(科技园店),小龙虾,科技园,高新园科技路11号伟杰置业一楼,2601,￥158,准五星商户
SOI 22 二十二象,东南亚菜,市中心区,海田路32号,661,￥116,四星商户
同仁四季音乐主题餐厅(南山LOFT店),火锅,南头,金鸡路1号田厦翡翠明珠1楼C5室,6170,￥107,四星商户
freshT优鲜馆(万象天地店),西餐,科技园,深南大道9668号万象天地SL616,386,￥88,四星商户
ai·爱渔海洋料理(购物公园店),日本料理,市中心区,购物公园北园A区2楼,169,￥288,准五星商户
十二少(水围店),粤菜,皇岗,皇岗公园一街水围村龙轩豪庭首层15号铺,662,￥91,四星商户
KYOKU铁板烧(欢乐海岸店),日本料理,欢乐海岸,白石路东八号欢乐海岸曲水湾16栋,346,￥894,五星商户
邻间(阿里巴巴大厦店),咖啡厅,南山中心区,科苑南路阿里巴巴大厦T4座1楼27单元,283,￥60,准五星商户
往里·法式甜点(南山桃园店),面包甜点,桃园,深圳南头田厦国际中心B座2737,27,￥61,准五星商户
逸海海上餐厅,海鲜,南澳,南澳东山村东山码头,171,￥188,准五星商户
原牛道牛肉火锅(A8音乐大厦店),火锅,科技园,粤海街道高新科技园科园路1002号A8音乐大厦101室,1000,￥133,四星商户
川婆婆酸菜鱼(车公庙店),川菜,车公庙,泰然工贸园泰然二路201栋首层3号铺-2号铺车公庙地铁站D2出口步行150米,910,￥80,准五星商户
I HOLIC PIZZA 艾豪丽披萨(海雅缤纷城店),西餐,海雅缤纷城,宝民一路海雅缤纷城一楼L1002B号,930,￥87,准五星商户
博林圣海伦酒店·La Villa自助西餐厅,自助餐,华侨城,华侨城侨城东路2002号,780,￥198,准五星商户
原牛道牛肉火锅(海王银河店),火锅,科技园,科技中三路海王银河大厦2楼,1987,￥128,准五星商户
普语堂·茶堂小厨,粤菜,华侨城,恩平街华侨城创意文化园F3栋,1443,￥88,四星商户
壹点壹客(总部),面包甜点,西丽,西丽镇官龙村第一工业区G栋2楼,2260,￥101,准五星商户
顺德公猪肚鸡(车公庙店),火锅,车公庙,车公庙泰然工贸园210栋101号,718,￥96,准五星商户
常回家(民康路店),粤菜,龙华,民康路284号东明大厦1楼,1342,￥66,准五星商户
惠比寿·茂吉,日本料理,市民中心,福华三路卓越INTOWN负一层,56,￥276,五星商户
御牛道日式料理炭火烤肉(海上世界店),日本料理,南山区,望海路海上世界C区二楼202商铺,181,￥185,准五星商户
松哥油焖大虾(海岸城三店),小龙虾,海岸城,粤海街道天利中央广场一期2层13号店铺,141,￥150,准五星商户
谭鸭血老火锅(水围店),火锅,皇岗,水围二街77号水围新家园首层东6-7号,264,￥111,四星商户
米馥寿司(景田店),日本料理,景田,景田路21号,274,￥87,准五星商户
丸道烧肉まるみち(罗湖店),日本料理,东门商业圈,深南东路3013号金城大厦一座,533,￥179,准五星商户
来一局 · 盐焗蟹工坊(大鹏 较场尾店),海鲜,大鹏,龙岐大围东区15号，16号,662,￥136,准五星商户
唐风回转寿司,日本料理,KKMAll 京基100大厦,大剧院地铁站kkmall4楼,563,￥111,四星商户
钢管厂五区小郡肝串串香,火锅,海雅缤纷城,建安一路250-2号翰林酒店旁，海雅缤纷西200米,202,￥109,四星商户
十碗(保利店),江浙菜,海岸城,文心六路保利文化广场A区1楼49-03号铺,976,￥75,四星商户
一品活蝦-台式居酒屋,台湾菜,新洲,福田区新洲九街嘉葆润金座二期C座101铺,329,￥129,准五星商户
悦木越南料理(宝安壹方城店),东南亚菜,宝安中心区,新湖路与创业一路交汇处壹方城L2层085-087号商铺,378,￥113,四星商户
李师傅脆肚(下梅林店),湘菜,梅林,下梅林梅华西路238-1号锦林新居16幢,1836,￥74,准五星商户
巴蜀风月(皇庭广场店),川菜,市中心区,福华三路皇庭购物广场L1层8号铺,2159,￥113,四星商户
卢金枝(南山茶叶城店),面包甜点,海岸城,南山茶叶城创业路2052-26号,600,￥80,准四星商户
原牛道牛肉火锅(现代国际店),火锅,市中心区,金田路3038号现代商务大厦4层402室,944,￥144,准五星商户
名港蒸汽海鲜,海鲜,龙华,梅龙路共和商业广场1032-6号,383,￥130,准五星商户
鼓浪屿厦门味道(宝安海雅缤纷城店),福建菜,海雅缤纷城,宝民一路海雅缤纷城四楼万达影院对面,1325,￥85,四星商户
苗侗自治·手抓小龙虾(华强北店),小龙虾,华强北,振兴西路109号华康大院3栋1楼,552,￥119,准五星商户
荞上人活鰻日本料理(南山店),日本料理,南油,南山大道南海大厦商铺1110-16,1319,￥230,准五星商户
北京羲和雅苑烤鸭坊(万象天地店),其他美食,科技园,深南大道9668号华润城万象天地SL257号,757,￥154,四星商户
蛙小侠(宝安壹方城店),湘菜,宝安中心区,创业一路壹方购物中心5楼,600,￥87,四星商户
INCAFE独立咖啡馆,咖啡厅,南油,东滨路荔秀文化街103栋4楼401号,71,￥44,准五星商户
23 burger store(万象天地店),西餐,科技园,深南大道9668号万象天地NL117,429,￥64,四星商户
VEONES维星(丰盛町店),面包甜点,车公庙,深南路丰盛町地下阳光街B区负一楼B1-110,537,￥22,准五星商户
青山烧烤(罗湖国贸店),烧烤,国贸,友谊路钻石广场一楼,101,￥76,四星商户
嘻游记(万象汇店),烧烤,布吉,翔鸽路华润万象汇L2层10号,397,￥107,四星商户
白玉串城(龙岗店),烧烤,龙岗中心区,龙岗中心城吉祥路346号,250,￥91,准五星商户
star & kitchen 星享餐厅,西餐,笋岗,笋岗展艺路艺展中心三期6楼空中创意园610号,284,￥239,准五星商户
台湾拳骨面线,台湾菜,宝安南路沿线,宝安南路广场北街小区底商2005-1,101,￥18,四星商户
汕头八合里海记牛肉店(新洲店),火锅,新洲,新洲九街嘉葆润金座家园B座154号,5126,￥92,准五星商户
BLEND 咖啡部落(车公庙店),咖啡厅,车公庙,车公庙213栋西侧一楼店铺,595,￥63,准五星商户
樂涧 蓝鰭金枪鱼料理,日本料理,科技园,沙河西路1819号深圳湾科技生态园7栋B座01层,253,￥384,准五星商户
四季椰林椰子鸡(皇庭店),火锅,市中心区,福华三路118号,3521,￥118,四星商户
松哥油焖大虾(白石洲二店),小龙虾,白石洲,石洲中路41号,180,￥173,五星商户
源燒酒場｜日式炭火燒肉(kk mall店),烧烤,KKMAll 京基100大厦,深南东路5016号KKMALL购物中心1楼123AB,819,￥181,四星商户
大拌新疆餐厅(海岸城店),新疆菜,海岸城,粤海街道文心六路,931,￥107,四星商户
云屋·CAKE,面包甜点,车公庙,车公庙地铁站C出口都市阳光名苑1座8楼8E,110,￥41,准五星商户
撒焱哥·碳火烧肉撸串(车公庙店),烧烤,车公庙,泰然9路21号十亩地二楼,73,￥121,四星商户
汉虾王·油焖大虾(宝安前进店),小龙虾,新安,新安前进一路司法局对面麦德龙商场旁,585,￥158,准五星商户
老房子(水岸风情食府海上世界店),川菜,蛇口,海上世界B区203-205商铺,2543,￥99,准五星商户
一宗·深夜食堂(明珠店),日本料理,南头,南海大道西海明珠商业街3011-16-2,158,￥119,四星商户
BOOK11书吧,咖啡厅,华强北,红荔路华新站A1出口负一层旺角美食街星空广场D18-D19商铺,78,￥31,准五星商户
顶真牛肉潮式火锅(文创店),火锅,香蜜湖,香蜜湖香梅北路2003号特发文创广场L109-110号,203,￥91,准五星商户
九号码头花胶主题火锅料理(皇庭广场店),火锅,市中心区,福华三路118号皇庭广场L1层,975,￥144,四星商户
一人前居食屋,日本料理,笋岗,笋岗洪湖一街新荔湾美食广场一楼18号,633,￥85,准五星商户
嘻螺海鲜餐厅(海岸城店),海鲜,海岸城,海岸城东座一楼商场中庭垂直电梯口147号,621,￥121,四星商户
米彩料理寿司(西丽店),日本料理,西丽,同沙路24号,1054,￥55,五星商户
云来居素食馆(南山店),素菜,南油,深圳市南山区南山大道亿利达大厦B区2栋六楼,758,￥100,准五星商户
吞酒,日本料理,南油,创业路凯德公园1号C座3楼305铺,56,￥164,准五星商户
Superich,面包甜点,皇岗,水围八街1368国际街区164栋一层,67,￥23,准五星商户
唐宫小聚(万象天地店),粤菜,科技园,深南大道华润万象天地SL620,858,￥102,四星商户
渔语鱼•酸菜鱼专门店(皇庭广场店),川菜,市中心区,福华三路118号皇庭广场L1层,8111,￥89,四星商户
那达慕蒙古风味酒楼,西北菜,市中心区,笋岗西路美莲大厦18栋1楼,538,￥104,准五星商户
印象清迈(海岸城店),东南亚菜,海岸城,海德二道22号海岸大厦东座一楼162号,7286,￥119,四星商户
嘻游记(壹方城店),烧烤,宝安中心区,新湖路壹方城购物广场L1层043商铺,1443,￥118,四星商户
BOA Lounge & Club,日本料理,蛇口,太子路蛇口海上世界星巴克三楼,78,￥205,准五星商户
老佛爷炭火蛙锅(八卦岭店),火锅,八卦岭/园岭,八卦一路18-9号,812,￥99,四星商户
一间厨房(购物公园店),其他美食,市中心区,福华一路民田路138号靠近购物公园B出口,77,￥80,四星商户
成都瓜串串(水围店),火锅,市中心区,水围二街18号,446,￥73,四星商户
君庭中餐馆,湘菜,华强北,深南中路3007号国际科技大厦40、41层,1330,￥191,准五星商户
大中华希尔顿酒店念全日制自助餐厅,自助餐,市中心区,深南大道1003号大中华国际金融中心B座2楼大中华希尔顿酒店,1325,￥237,四星商户
莫宁先生,西餐,黄贝岭,黄贝街道凤凰路HiCity购物中心第二层L2-06B铺,362,￥40,准五星商户
万豪中餐厅(金茂深圳JW万豪酒店),粤菜,香蜜湖,深南大道6005号金茂JW万豪酒店2楼,139,￥234,准五星商户
鸟（蔦居酒屋车公庙店）,日本料理,车公庙,车公庙工业区东座201栋1层104号,199,￥174,准五星商户
花悦庭(平安金融中心店),其他美食,市中心区,福田街道福华四路16号平安金融中心内第六层N606-N607号商铺,460,￥227,四星商户
重庆印象火锅(梅林店),火锅,梅林,梅秀路46号1楼,2086,￥107,准五星商户
Wine Lab新派葡萄酒馆,西餐,华侨城,侨城东路99号103B深南电路大厦街铺T馆旁,184,￥220,准五星商户
半饱半醉(万象天地店),私房菜,科技园,深南大道9668号万象天地里巷二楼NL260,902,￥97,准四星商户
大欢喜,面包甜点,南山中心区,文心五路海岸大厦西座128号,213,￥33,四星商户
龙荟海鲜菜馆·围村盆菜,粤菜,宝安南路沿线,宝安南路3095号中川集团大厦2楼,181,￥107,准五星商户
虾知道,小龙虾,皇岗,深圳市福田区福田街道水围社区水围村251栋102,76,￥87,五星商户
MACU果一百(华强北店),面包甜点,华强北,振华路133-5号,294,￥17,准五星商户
六本堂(花园城店),日本料理,蛇口,招商街道蛇口花园城数码大厦A座102号,1195,￥180,四星商户
居酒屋霞(居酒屋 かすみ),日本料理,国贸,南湖路3009号国贸商住大厦4楼,1520,￥136,四星商户
帅帅虾王·湖北菜,小龙虾,民治,梅龙公路153号鑫海公寓一层商铺,409,￥118,四星商户
B.PARK 绽放花园,西餐,华侨城,香山东街华侨城文化创意园北区B1栋101,341,￥202,四星商户
堂本家猪排·料理专门店(益田店),日本料理,益田假日,深南大道益田假日广场B1-27号,1745,￥88,四星商户
台山佬黄鳝饭,粤菜,皇岗,水围六街117栋1楼,198,￥93,四星商户
苏丝黄(购物公园店),粤菜,市中心区,购物公园北园C区261A,4591,￥103,四星商户
探谷•骨吸吸(世纪汇店),火锅,华强北,中航路世纪汇6楼614B,273,￥55,准五星商户
燚青春东北泥炉烤肉(新安店),烧烤,海雅缤纷城,宝民一路与新圳路交叉口旁,287,￥80,四星商户
金花溪韩国料理,韩国料理,桃园,南光路南海明珠A-106号1楼商铺,683,￥62,准五星商户
西村日本料理·铁板烧(蛇口店),日本料理,蛇口,招商街道望海路1177号蛇口希尔顿酒店二楼,125,￥1080,准五星商户
醉码头重庆火锅(宝安店),火锅,西乡,金海路102号华盛辉商业大厦一楼,36,￥103,五星商户
彭年酒店云景轩（旋转）自助餐厅,自助餐,国贸,嘉宾路2002号彭年酒店50楼,954,￥297,四星商户
MAGPIE喜鹊派餐厅,西餐,华侨城,文昌街华侨城创意园北区A5-125,128,￥190,四星商户
东海朗廷酒店秀•Silk自助餐厅,自助餐,车公庙,深南大道7888号东海朗廷酒店内,1127,￥295,四星商户
焱九簋美蛙鱼头(南山店),火锅,桃园,学府路107号康乐大厦底层,294,￥97,准五星商户
双城记食花鲜花鸡(海雅缤纷城店),火锅,海雅缤纷城,宝民一路海雅缤纷城负一楼B106-B107,348,￥76,准五星商户
陶气鸭子时尚干锅,川菜,海岸城,文心五路33号海岸城东座2楼244号,121,￥84,准五星商户
仙庙烧鸡(民治总店),粤菜,民治,民治樟坑一区1栋1号,254,￥63,准五星商户
食途·明火砂锅牛腩煲(中心城店),火锅,市中心区,福华一路怡景中心城负2层FG009号商铺,586,￥92,四星商户
盛和品的米粉铺,粥粉面,民治,民治街道梅龙路樟坑百易广场c1-015,35,￥33,准五星商户
青蓬蒸品海鲜城(华润万象城店),海鲜,国贸,嘉宾路与和平路交叉口,483,￥327,准五星商户
Unic living museum,咖啡厅,西丽,学苑大道1155号,302,￥49,准五星商户
慕炭东北海鲜烤肉(大新前海店),烧烤,前海,前海路大新前海商业中心2楼,1929,￥115,四星商户
粤厨(欢乐海岸店),粤菜,欢乐海岸,白石路欢乐海岸购物中心3楼,509,￥137,四星商户
桂小厨广西菜(宝安壹方城店),其他美食,宝安中心区,新安街道新湖路壹方城购物中心4楼,506,￥80,四星商户
老板凳砂锅串串香,火锅,桃园,粤海街道办桂庙新村54-5栋,193,￥80,准五星商户
鲍师傅糕点(购物公园店),面包甜点,市中心区,地址：福华三路城中雅苑底商7-8栋购物公园E出口斜对面中原地产这边丝域美发旁边,115,￥19,准四星商户
BeauTea水仙(coco park店),面包甜点,市中心区,福华三路星河cocopark一楼B03铺,441,￥38,四星商户
Deli&Leisure悠乐(皇庭广场店),创意菜,市中心区,福华三路118号皇庭广场1层,2039,￥103,四星商户
胡哥烤肥牛(南山枫叶店),烧烤,南油,南山大道东南侧南园枫叶大厦1楼8号商铺,705,￥103,四星商户
